ID,李⑷낵??int),?섍퀬(m),?섍???(min),?섍???(max),?섍???룊洹?2022-09-01 ?덉닚,2022-09-02 ?덉닚,2022-09-03 ?덉닚,2022-09-04 ?덉닚,2022-09-05 ?덉닚,2022-09-06 ?덉닚,2022-09-07 ?덉닚,2022-09-08 ?덉닚,2022-09-09 ?덉닚,2022-09-10 ?덉닚,2022-09-11 ?덉닚,2022-09-12 ?덉닚,2022-09-13 ?덉닚,2022-09-14 ?덉닚,2022-09-15 ?덉닚,2022-09-16 ?덉닚,2022-09-17 ?덉닚,2022-09-18 ?덉닚,2022-09-19 ?덉닚,2022-09-20 ?덉닚,2022-09-21 ?덉닚,2022-09-22 ?덉닚,2022-09-23 ?덉닚,2022-09-24 ?덉닚,2022-09-25 ?덉닚,2022-09-26 ?덉닚,2022-09-27 ?덉닚,2022-09-28 ?덉닚,2022-09-29 ?덉닚,2022-09-30 ?덉닚,2022-10-01 ?덉닚,2022-10-02 ?덉닚,2022-10-03 ?덉닚,2022-10-04 ?덉닚,2022-10-05 ?덉닚,2022-10-06 ?덉닚,2022-10-07 ?덉닚,2022-10-08 ?덉닚,2022-10-09 ?덉닚,2022-10-10 ?덉닚,2022-10-11 ?덉닚,2022-10-12 ?덉닚,2022-10-13 ?덉닚,2022-10-14 ?덉닚,2022-10-15 ?덉닚,2022-10-16 ?덉닚,2022-10-17 ?덉닚,2022-10-18 ?덉닚,2022-10-19 ?덉닚,2022-10-20 ?덉닚,2022-10-21 ?덉닚,2022-10-22 ?덉닚,2022-10-23 ?덉닚,2022-10-24 ?덉닚,2022-10-25 ?덉닚,2022-10-26 ?덉닚,2022-10-27 ?덉닚,2022-10-28 ?덉닚,2022-10-29 ?덉닚,2022-10-30 ?덉닚,2022-10-31 ?덉닚,2022-11-01 ?덉닚,2022-11-02 ?덉닚,2022-11-03 ?덉닚,2022-11-04 ?덉닚,2022-11-05 ?덉닚,2022-11-06 ?덉닚,2022-11-07 ?덉닚,2022-11-08 ?덉닚,2022-11-09 ?덉닚,2022-11-10 ?덉닚,2022-11-11 ?덉닚,2022-11-12 ?덉닚,2022-11-13 ?덉닚,2022-11-14 ?덉닚,2022-11-15 ?덉닚,2022-11-16 ?덉닚,2022-11-17 ?덉닚,2022-11-18 ?덉닚,2022-11-19 ?덉닚,2022-11-20 ?덉닚,2022-11-21 ?덉닚,2022-11-22 ?덉닚,2022-11-23 ?덉닚,2022-11-24 ?덉닚,2022-11-25 ?덉닚,2022-11-26 ?덉닚,2022-11-27 ?덉닚,2022-11-28 ?덉닚,2022-09-01 ?쎈줉??2022-09-02 ?쎈줉??2022-09-03 ?쎈줉??2022-09-04 ?쎈줉??2022-09-05 ?쎈줉??2022-09-06 ?쎈줉??2022-09-07 ?쎈줉??2022-09-08 ?쎈줉??2022-09-09 ?쎈줉??2022-09-10 ?쎈줉??2022-09-11 ?쎈줉??2022-09-12 ?쎈줉??2022-09-13 ?쎈줉??2022-09-14 ?쎈줉??2022-09-15 ?쎈줉??2022-09-16 ?쎈줉??2022-09-17 ?쎈줉??2022-09-18 ?쎈줉??2022-09-19 ?쎈줉??2022-09-20 ?쎈줉??2022-09-21 ?쎈줉??2022-09-22 ?쎈줉??2022-09-23 ?쎈줉??2022-09-24 ?쎈줉??2022-09-25 ?쎈줉??2022-09-26 ?쎈줉??2022-09-27 ?쎈줉??2022-09-28 ?쎈줉??2022-09-29 ?쎈줉??2022-09-30 ?쎈줉??2022-10-01 ?쎈줉??2022-10-02 ?쎈줉??2022-10-03 ?쎈줉??2022-10-04 ?쎈줉??2022-10-05 ?쎈줉??2022-10-06 ?쎈줉??2022-10-07 ?쎈줉??2022-10-08 ?쎈줉??2022-10-09 ?쎈줉??2022-10-10 ?쎈줉??2022-10-11 ?쎈줉??2022-10-12 ?쎈줉??2022-10-13 ?쎈줉??2022-10-14 ?쎈줉??2022-10-15 ?쎈줉??2022-10-16 ?쎈줉??2022-10-17 ?쎈줉??2022-10-18 ?쎈줉??2022-10-19 ?쎈줉??2022-10-20 ?쎈줉??2022-10-21 ?쎈줉??2022-10-22 ?쎈줉??2022-10-23 ?쎈줉??2022-10-24 ?쎈줉??2022-10-25 ?쎈줉??2022-10-26 ?쎈줉??2022-10-27 ?쎈줉??2022-10-28 ?쎈줉??2022-10-29 ?쎈줉??2022-10-30 ?쎈줉??2022-10-31 ?쎈줉??2022-11-01 ?쎈줉??2022-11-02 ?쎈줉??2022-11-03 ?쎈줉??2022-11-04 ?쎈줉??2022-11-05 ?쎈줉??2022-11-06 ?쎈줉??2022-11-07 ?쎈줉??2022-11-08 ?쎈줉??2022-11-09 ?쎈줉??2022-11-10 ?쎈줉??2022-11-11 ?쎈줉??2022-11-12 ?쎈줉??2022-11-13 ?쎈줉??2022-11-14 ?쎈줉??2022-11-15 ?쎈줉??2022-11-16 ?쎈줉??2022-11-17 ?쎈줉??2022-11-18 ?쎈줉??2022-11-19 ?쎈줉??2022-11-20 ?쎈줉??2022-11-21 ?쎈줉??2022-11-22 ?쎈줉??2022-11-23 ?쎈줉??2022-11-24 ?쎈줉??2022-11-25 ?쎈줉??2022-11-26 ?쎈줉??2022-11-27 ?쎈줉??2022-11-28 ?쎈줉??TRAIN_0000,692,275,287,292,289.5,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,78.3365036,78.24346165,78.16650127,78.1275258,78.05802098,77.91568927,77.86165985,77.74664499,77.59213772,77.57247726,77.38204532,77.21178911,77.15105114,77.06306858,76.90598079,76.86847491,76.73289716,76.66927958,76.66258541,76.5194088,76.34966057,76.1860913,76.0402067,75.99941469,75.99059174,75.95373143,75.82956356,75.79867303,75.62124263,75.42700524,75.26618729,75.22609386,75.16231888,75.07944379,75.01385524,74.93569696,74.8427488,74.83665695,74.81692828,74.7885741,74.69035809,74.50494177,74.39490844,74.35170366,74.1663463,74.02025357,73.83514207,73.76616392,73.75526935,73.6273946,73.46545688,73.39507577,73.31140479,73.24302843,73.08740855,73.08165117,73.02375519,72.98726279,72.97760636,72.83846182,72.64538568,72.51286866,72.44590772,72.37009706,72.30117988,72.22837355,72.20774579,72.06835357,71.98766275,71.86946604,71.85292287,71.69085445,71.57640227,71.38401826,71.30189308,71.23481706,71.07690251,70.99611346,70.98584348,70.97824949,70.87679386,70.70525306,70.55960278,70.42735595,70.34049087,70.2938296,70.26242185,70.16984081,70.0432513
TRAIN_0001,534,293,284,336,310,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0,0,0,0,80.11669059,79.9743967,79.89039875,79.7092776,79.53106127,79.34813895,79.15102346,79.12873919,79.08419651,78.92447582,78.89324846,78.83094185,78.65477454,78.60941495,78.51224205,78.38291388,78.18871425,77.9994072,77.80425628,77.64074293,77.5592445,77.40301614,77.30745944,77.10787662,77.10622779,77.00585109,76.83004937,76.81026359,76.66941783,76.57252811,76.47826887,76.32815266,76.27687936,76.09234855,75.91524727,75.76083011,75.59194294,75.43122548,75.24479544,75.11925044,74.99729622,74.88019612,74.75013765,74.60376062,74.52480841,74.35138261,74.27274862,74.13800978,74.05278978,74.00845175,73.8266682,73.68557645,73.66876524,73.54230822,73.53072327,73.52356983,73.50781368,73.47040143,73.37345734,73.24874316,73.22688452,73.18366598,73.1564837,73.07250446,72.90982583,72.88042949,72.7753874,72.62406081,72.56191845,72.43746568,72.27467537,72.14522487,71.97086317,71.95586431,71.86650432,71.67809811,71.65383849,71.59323356,71.55145982,71.53548335,71.38230336,71.25360374,71.09266536,70.95560772,70.79663013,70.59755001,70.56508772,70.56050217,70.42760035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0002,634,300,392,450,421,3,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,79.11852907,78.94145191,78.92819706,78.7418778,78.71369063,78.65424718,78.46174285,78.32326358,78.21969612,78.1238203,78.03609528,77.9890623,77.91846626,77.88819147,77.73587387,77.55993987,77.47255437,77.31715287,77.18442635,76.99663764,76.94115111,76.76974855,76.66756372,76.52569978,76.33123848,76.30255178,76.14378793,75.99888973,75.95255682,75.88333315,75.79300946,75.71024931,75.70053566,75.56600802,75.5274445,75.51175646,75.50537857,75.38974048,75.31604102,75.13526786,75.0925888,75.01500267,74.94281818,74.84721742,74.73879574,74.62545253,74.5111754,74.41976045,74.37916721,74.31269028,74.16040318,74.13314125,74.0066684,73.94045568,73.92083067,73.81019504,73.67036736,73.65641693,73.5256562,73.50867836,73.3151149,73.26387109,73.23720645,73.15847572,73.0535933,72.93362858,72.80143894,72.7735176,72.64916899,72.45101376,72.30687007,72.11636388,71.95930885,71.95661055,71.83845758,71.75949892,71.63560228,71.48121331,71.31581962,71.27980366,71.19956952,71.14402048,71.0267404,70.92003804,70.87672307,70.71012892,70.5959713,70.41820285,70.39957831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0003,639,289,368,379,373.5,3.1,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,77.9362625,77.83952252,77.81560715,77.64464366,77.54655471,77.48044071,77.38366506,77.28203597,77.12635352,77.12129998,77.04301516,76.90049522,76.77431538,76.62793922,76.51968888,76.49626707,76.43442097,76.37245739,76.25492337,76.06371641,75.94959229,75.93560602,75.87939484,75.72001766,75.67350027,75.49167173,75.37993451,75.33135908,75.22554861,75.21143686,75.0621308,74.8973988,74.81957606,74.71631883,74.67550112,74.57993131,74.57349078,74.55293927,74.41813637,74.23783034,74.17748952,74.02298906,73.89788243,73.79977495,73.62830991,73.4606481,73.31936873,73.1554381,72.96225558,72.85812868,72.81308685,72.80985262,72.61291644,72.46406355,72.41578703,72.40617065,72.28331502,72.08997819,72.03706373,71.96954725,71.83425232,71.73140185,71.62018597,71.43953839,71.39416538,71.35301962,71.24781217,71.09865088,71.08151026,70.94912981,70.80366525,70.76033028,70.61448455,70.601727,70.41149013,70.24549834,70.13642184,70.12906931,70.01812035,69.93461453,69.88412355,69.84568297,69.79468205,69.77981279,69.61464368,69.45540409,69.28158986,69.23868894,69.13396994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0004,496,306,353,358,355.5,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,76.23323106,76.18657219,76.03103206,75.88655266,75.73644881,75.73503559,75.64222322,75.45849586,75.38094506,75.27205435,75.09867616,75.03065163,75.02549861,74.97039233,74.92180281,74.91072029,74.87151877,74.6853265,74.63683422,74.47250579,74.46462144,74.43820905,74.34535948,74.14740645,73.98564509,73.81364235,73.62995367,73.62358074,73.46898704,73.3554235,73.28622212,73.15252705,73.02399181,72.93767473,72.89613441,72.87432371,72.71636294,72.65797452,72.4695732,72.42888741,72.35273792,72.26274121,72.07582621,71.97925368,71.94595677,71.82941822,71.7743389,71.63754677,71.62059488,71.56684695,71.4577378,71.32865255,71.19288391,71.05845388,70.88892578,70.73686702,70.56666712,70.54914888,70.3757941,70.23044017,70.11130796,69.91481556,69.82220371,69.73981142,69.59604103,69.53605872,69.34084152,69.31896314,69.14920519,69.08533453,68.91636374,68.81755216,68.70251511,68.68286191,68.66472223,68.57693334,68.52016744,68.37724558,68.33904362,68.31301578,68.285364,68.20986047,68.20945762,68.04008252,67.85996307,67.77555624,67.7014564,67.50424423,67.41009276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0005,350,308,342,409,375.5,4.1,4.1,4,4,4,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2,2,2,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0,0,79.7457871,79.74342638,79.54475856,79.41055609,79.28417157,79.24241246,79.23324691,79.04498076,78.92198901,78.7991108,78.70165901,78.62291878,78.59089213,78.45306138,78.42096892,78.37281635,78.35644679,78.34769145,78.23924495,78.2023966,78.04361684,77.99148929,77.81196382,77.72391686,77.71486558,77.61814786,77.60375755,77.46587273,77.31500189,77.21364298,77.05794153,76.96529813,76.92953057,76.75124467,76.62086793,76.44796072,76.33450757,76.16607911,76.08606017,75.90394055,75.79285984,75.6190826,75.43117877,75.32857193,75.27746846,75.09089324,74.90511163,74.8738653,74.80908753,74.67732224,74.48008078,74.33881413,74.33582466,74.23203387,74.19002951,74.08520477,74.06022049,74.01562158,73.92426945,73.85080728,73.65534996,73.5350792,73.37517727,73.31613352,73.24596941,73.07891582,72.93042623,72.88536243,72.79983019,72.78642423,72.75133364,72.73016302,72.55897786,72.49154885,72.37923528,72.23732008,72.06060577,72.03218962,71.93213537,71.82767433,71.7985368,71.76124818,71.69505831,71.64748165,71.59084224,71.45154101,71.3275913,71.20566356,71.06406535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0006,689,212,320,344,332,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,67.25044267,67.13896121,67.118094,67.06215475,66.97330634,66.841844,66.71903286,66.65877835,66.53278404,66.41389265,66.33059459,66.24720392,66.16811532,66.05770024,65.97070522,65.80336834,65.70717792,65.70359216,65.62699176,65.53911099,65.52642566,65.4938001,65.45192836,65.37618854,65.2078255,65.16494922,65.11232698,64.97091866,64.96030676,64.82797672,64.7858015,64.74562554,64.69500562,64.60408565,64.47387928,64.29342418,64.20540549,64.13887966,64.05716448,63.96300867,63.81823011,63.77239047,63.7713932,63.71372434,63.63041574,63.5160757,63.50547341,63.30715379,63.16157553,63.05463567,62.94425295,62.88551048,62.78836496,62.72632448,62.6981409,62.6562909,62.48159203,62.45077787,62.28144511,62.14858167,61.98531977,61.91392916,61.77236337,61.64949159,61.46245873,61.27512643,61.13711928,61.04635732,60.99827167,60.95528712,60.81404809,60.67171607,60.48225368,60.36746953,60.33416606,60.22700521,60.12847444,59.97082336,59.92924789,59.73494259,59.70744554,59.58850594,59.4640269,59.41592461,59.39185311,59.37666164,59.22475849,59.12144019,59.10856918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0007,459,280,404,416,410,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,76.54532654,76.34593376,76.26831822,76.15510298,76.03626378,75.91051613,75.80981777,75.71770362,75.55442578,75.52719968,75.52587491,75.49227993,75.33139766,75.29319078,75.19132942,75.01547723,74.89266408,74.83839974,74.67094114,74.63990595,74.44864922,74.27351388,74.10040598,73.95045575,73.90054828,73.88429125,73.71055157,73.56804869,73.44855831,73.26082589,73.15118965,73.01125367,72.83233095,72.76420652,72.62594786,72.51249242,72.43632312,72.2714362,72.25531793,72.22496357,72.12451707,72.07402549,71.89394235,71.85279125,71.80493465,71.67287289,71.62401571,71.4692167,71.31489476,71.18973039,71.04702674,70.92136349,70.82957859,70.67544384,70.58220674,70.4588274,70.3614593,70.19545338,70.0585686,70.01932844,69.88015164,69.72492176,69.67199558,69.5681072,69.39857355,69.35966209,69.18571711,69.11450543,69.11336961,68.98754878,68.96447352,68.90677092,68.87487714,68.70194635,68.68981121,68.54108521,68.38369869,68.2216701,68.07173984,67.98500222,67.89767258,67.82999157,67.71861329,67.61114138,67.48314491,67.31913331,67.16662708,66.98521352,66.79062303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0008,697,214,324,363,343.5,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,78.62004459,78.45032722,78.39467307,78.19988353,78.12364028,78.03360475,77.84112464,77.6757817,77.59238336,77.42791524,77.3699104,77.2398275,77.12353469,76.93989899,76.84844791,76.83696177,76.73996749,76.67546769,76.62754676,76.45769871,76.45449169,76.26049465,76.10591513,76.10411781,75.96247294,75.80158583,75.75239846,75.70281381,75.61546102,75.58899015,75.49756435,75.33370883,75.15719687,75.1087555,75.07377556,74.87691004,74.71757224,74.71427285,74.69995965,74.68936878,74.65317899,74.59938469,74.48497503,74.34496996,74.14510622,73.99412779,73.95747267,73.76620662,73.71781558,73.63845358,73.51770257,73.36024354,73.22554372,73.14232611,72.94590152,72.87305184,72.74573098,72.54684731,72.45822298,72.36241099,72.23742526,72.22079137,72.13058072,72.10596659,71.93012035,71.77449518,71.69394932,71.50802678,71.4456892,71.32223935,71.12829438,71.12539968,70.9767717,70.78691046,70.65582185,70.47926986,70.41944548,70.26432851,70.11279725,70.02651104,69.92991346,69.87264398,69.72058775,69.54286087,69.47566608,69.40289442,69.30785868,69.22795131,69.1142213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0009,167,224,242,285,263.5,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3,3,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0,0,74.97096622,74.84812733,74.67748953,74.54908135,74.37603365,74.30909605,74.28438143,74.17860516,74.16065878,74.11215006,73.98931994,73.94911559,73.7968736,73.67915604,73.532039,73.35911273,73.24601241,73.14770529,73.10970071,72.93972645,72.88961677,72.75850306,72.57069138,72.39751559,72.35884789,72.18574515,72.13060703,72.00295577,71.8258361,71.69686202,71.61902818,71.46475386,71.42987022,71.24479947,71.15057379,71.07052603,70.92585602,70.84525781,70.71457658,70.65942302,70.59586592,70.46627588,70.42284613,70.24632863,70.21445126,70.07790422,69.96566575,69.93356404,69.93303629,69.88590258,69.79450496,69.71589731,69.65226973,69.47056119,69.38917514,69.21787213,69.20772443,69.09555456,68.90231203,68.71005801,68.5261762,68.36576989,68.26748268,68.13213243,67.97696503,67.83122674,67.69416861,67.53009466,67.3895887,67.35938725,67.3445756,67.14948773,67.0040758,66.87497092,66.81645005,66.64526123,66.60846259,66.43378161,66.37656864,66.30172447,66.15190001,66.00996177,65.9991802,65.91806571,65.83830934,65.8210863,65.62352144,65.59552167,65.49985436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIN_0010,376,208,314,325,319.5,4.1,4.1,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0,80.62649036,80.59111643,80.42126923,80.31131089,80.15436565,80.04374431,79.94038953,79.75000797,79.7433344,79.5849322,79.39892398,79.33964245,79.17390593,79.05787549,78.94019445,78.7582297,78.63727786,78.47837388,78.43079637,78.38421742,78.31149411,78.27832547,78.16320387,78.15710394,78.10788545,77.90918263,77.82609731,77.72196107,77.71964929,77.62470391,77.55174867,77.41505876,77.2725079,77.14351882,77.00059175,76.85568821,76.71468395,76.61057681,76.50195678,76.45434868,76.31510539,76.20034011,76.0013473,75.86948891,75.69469507,75.51618438,75.48133897,75.45120472,75.26164635,75.22024314,75.12978701,75.0526687,74.99454751,74.93433626,74.80202879,74.76236179,74.72237854,74.57038432,74.39181583,74.28608548,74.24117718,74.1242073,74.04229809,73.97378595,73.81810727,73.66583462,73.60487869,73.50501365,73.36306487,73.25804189,73.17293395,73.09047342,73.05212914,72.99673335,72.93619938,72.82414065,72.65440601,72.57126069,72.51071244,72.48573598,72.28934039,72.1359435,72.03156973,71.96287241,71.81628567,71.70714111,71.55416077,71.51646299,71.48118485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
